1;brandhofgasse;Brandhofgasse;graz-geidorf;
1;brauhausstraße;Brauhausstraße;graz-eggenberg;
1;brauhausstraße;Brauhausstraße;graz-wetzelsdorf;
1;brehmstraße;Brehmstraße;graz-wetzelsdorf;
1;breitenweg;Breitenweg;graz-sanktpeter;
1;breitenweg;Breitenweg;graz-waltendorf;
1;bresslernrothweg;Bresslern-Roth-Weg;graz-gösting;
1;breunergasse;Breunergasse;graz-gösting;
1;brockmanngasse;Brockmanngasse;graz-sanktleonhard;
1;brockmanngasse;Brockmanngasse;graz-jakomini;
1;brückengasse;Brückengasse;graz-gries;
1;brückenkopfgasse;Brückenkopfgasse;graz-gries;
1;brucknerstraße;Brucknerstraße;graz-jakomini;
1;brüderrennerweg;Brüder-Renner-Weg;graz-puntigam;
1;bründlgasse;Bründlgasse;graz-straßgang;
1;brunnerweg;Brunnerweg;graz-eggenberg;
1;brunnerweg;Brunnerweg;graz-wetzelsdorf;
1;brunnfeldweg;Brunnfeldweg;graz-puntigam;
1;brunngasse;Brunngasse;graz-geidorf;
1;buchenweg;Buchenweg;graz-jakomini;
1;buchkogelgasse;Buchkogelgasse;graz-gries;
1;buhnengasse;Buhnengasse;graz-lend;
1;bunsengasse;Bunsengasse;graz-lend;
1;burenstraße;Burenstraße;graz-eggenberg;
1;burenstraße;Burenstraße;graz-wetzelsdorf;
1;burgenlandstraße;Burgenlandstraße;graz-eggenberg;
1;bürgergasse;Bürgergasse;graz-innerestadt;
1;bürgerspitalgasse;Bürgerspitalgasse;graz-gries;
1;burgfriedweg;Burgfriedweg;graz-waltendorf;
1;burggarten;Burggarten;graz-innerestadt;
1;burggasse;Burggasse;graz-innerestadt;
1;burgring;Burgring;graz-innerestadt;
1;carlonegasse;Carlonegasse;graz-puntigam;
1;carlspitzweggasse;Carl-Spitzweg-Gasse;graz-sanktpeter;
1;carnerigasse;Carnerigasse;graz-geidorf;
1;casalgasse;Casalgasse;graz-liebenau;
1;charlottendorfgasse;Charlottendorfgasse;graz-geidorf;
1;christophorusgrund;Christophorusgrund;graz-straßgang;
1;conduzzigasse;Conduzzigasse;graz-mariatrost;
1;conradkreuzergasse;Conrad-Kreuzer-Gasse;graz-straßgang;
1;conradvonhötzendorfstraße;Conrad-von-Hötzendorf-Straße;graz-jakomini;
1;conradvonhötzendorfstraße;Conrad-von-Hötzendorf-Straße;graz-liebenau;
1;corneliusweg;Corneliusweg;graz-gösting;
1;costellagasse;Costellagasse;graz-gösting;
1;coventrypromenade;Coventrypromenade;graz-innerestadt;
1;custozzagasse;Custozzagasse;graz-gries;
1;dahlienweg;Dahlienweg;graz-straßgang;
1;daimlerweg;Daimlerweg;graz-liebenau;
1;dammweg;Dammweg;graz-sanktpeter;
1;darmstadtgasse;Darmstadtgasse;graz-lend;
1;daungasse;Daungasse;graz-lend;
1;davidgasse;Davidgasse;graz-innerestadt;
1;davidherzogplatz;David-Herzog-Platz;graz-gries;
1;dechantbinderanlage;Dechant-Binder-Anlage;graz-gösting;
1;defreggergasse;Defreggergasse;graz-gries;
1;denggasse;Denggasse;graz-sanktpeter;
1;dennigweg;Dennigweg;graz-andritz;
1;dieselweg;Dieselweg;graz-liebenau;
1;dietrichsteinplatz;Dietrichsteinplatz;graz-sanktleonhard;
1;dietrichsteinplatz;Dietrichsteinplatz;graz-jakomini;
1;doblergasse;Doblergasse;graz-lend;
1;dolezalgasse;Dolezalgasse;graz-gösting;
1;dominikanergasse;Dominikanergasse;graz-gries;
1;dominikanerriegel;Dominikanerriegel;graz-lend;
1;donboscoweg;Don-Bosco-Weg;graz-wetzelsdorf;
1;dorfstraße;Dorfstraße;graz-liebenau;
